LATITUDE,LONGITUDE,SST NE,pH NE,SALINITY NE,DO NE,chlo NE,PO4 NE,Nitrate NE,SST SE,Ph SE,SALINITY SE,DO SE,chlo SE,PO4 SE,Nitrate SE
-6.19998,39.18601,28,9.12,35,4.9,0.00123,0.74371,0.68197,27.8,8.07,34.8,7,0.30256,0.67441,0.29291
-6.19975,39.19975,27,9.6,35.5,4.31,0.0023,0.67441,0.75515,28,8.07,34.5,7.12,0.3158,0.62822,0.2562
-6.19909,39.205,27.7,9,35.5,4.04,0.0012,0.51273,4.8415,27.4,8.01,34.5,6.56,0.51269,0.51273,0.43975
-6.19755,39.17088,27.5,9,34,5.23,0.00133,0.39725,0.73076,28,8.09,34.8,7,0.5218,0.46654,0.47647
-6.1936,39.15768,27.5,9,35,4.21,0.0015,0.37415,0.64537,28,8.09,35,6.01,0.5312,0.42035,0.50094
-6.18768,39.14259,27,9.14,34.8,4.89,0.00143,0.37415,0.58438,27.8,8.05,35,6.21,0.30012,0.39725,0.5866
-6.18251,39.131,27.1,9.07,35,4.9,0.00123,0.35106,0.84054,27.8,8.09,34.8,5.21,0.12589,0.37415,0.64779
-6.17912,39.11894,28.1,9.15,34,5.02,0.00127,0.35106,0.87713,27.8,8.07,35,6.22,0.04589,0.37415,0.70898
-6.17893,39.09996,26.9,9.1,34,5,0.0012,0.35106,0.85274,27.8,8.06,34.8,6.24,0.00209,0.21247,0.45199
-6.17845,39.10847,29,9.34,34.8,5.46,0.00116,0.32796,0.98692,28,8.05,34.8,6,0.02589,0.06469,0.54989
-6.15761,39.19114,28.1,8.9,34.5,7.43,0.00135,0.836093357,5.29283,28,8.06,34,6,0.7125,0.46654,0.73345
-6.15487,39.18473,27.7,9.08,33,7.6,0.0052,0.651317064,1.46264,28,8.09,34.5,7.22,0.70269,0.46654,0.46423
-6.15321,39.17699,27.6,9.07,36,7.6,0.0013,0.628220027,1.91397,27.8,8.08,35.2,6.6,0.5896,0.44344,0.34186
-6.15187,39.16704,27.6,9.13,37,5.65,0.0019,0.512734844,0.36482,28,8.1,35.2,7,0.41256,0.44344,0.51318
-6.15066,39.15677,27.5,9.1,36,5.5,0.00088,0.489637807,0.38921,28,8.1,35.3,6.26,0.1589,0.44344,0.46423
-6.14902,39.1478,27.5,9.1,35.5,5.7,0.00086,0.466540771,0.4624,27.8,8.1,35,6.26,0.19855,0.44344,0.39081
-6.14452,39.13574,27.1,9.08,34.9,5.52,0.00078,0.443443734,0.85274,27.4,8.11,36,5.95,0.09899,0.42035,0.46423
-6.14227,39.12684,27.1,9.05,35,5.05,0.00183,0.443443734,0.38921,27.6,8.1,36.5,6.56,0.02827,0.42035,0.28067
-6.13969,39.116,27.2,9.06,35,5.35,0.00213,0.420346698,0.38921,27.6,8.11,35.5,6.36,0.00938,0.35106,0.26843
-6.13722,39.10515,27.1,9.08,35.2,5.5,0.0019,0.397249661,0.40141,27.5,8.09,35.5,6.11,0.00259,0.28176,0.21948
-6.13312,39.21179,27,8.93,35,5.32,0.00628,0.97468,2.59706,28.1,8.01,34,7.12,1.2568,0.39725,1.02715
-6.12451,39.20408,27.3,9,34,6.62,0.00397,0.95158,1.25527,28,8.04,34,6.26,1.1261,0.39725,0.62331
-6.11935,39.19252,27.5,9,34.8,6.25,0.00227,0.7899,0.97472,28,8.05,34.5,6.01,1.00227,0.32796,0.59884
-6.11595,39.18268,27.2,9.12,34,6,0.00241,0.65132,0.86494,28,8.06,34.8,5.64,0.90187,0.32796,0.77016
-6.11335,39.1717,27.6,9.12,35,5.05,0.00216,0.62822,0.70636,27.7,8.08,34.8,5.56,0.50212,0.32796,0.46423
-6.10961,39.15924,27.1,9.04,34,4.86,0.00159,0.60512,0.68197,28,8.08,34.8,6.01,0.30227,0.30486,0.45199
-6.10653,39.14531,26,9.04,34.5,5.55,0.00075,0.58203,0.69416,27.8,8.09,35,6.01,0.1025,0.30486,0.51318
-6.10374,39.13555,26.8,9.05,35,5.44,0.00078,0.55893,0.60878,27.2,8.08,35,6.3,0.09255,0.30486,0.4887
-6.09955,39.12152,26.9,9.04,34.5,5.11,0.00122,0.53583,0.85274,27.3,8.1,35,5.91,0.04309,0.25867,0.51318
-6.09726,39.115,26.8,9.04,35,5.45,0.00112,0.48964,0.93812,27.7,8.1,35,6.12,0.20285,0.23557,0.45199
