LATITUDE	LONGITUDE	SST NE	pH NE	SALINITY NE	DO NE	chlo NE	PO4 NE	Nitrate NE	SST SE	Ph SE	SALINITY SE	DO SE	chlo SE	Nitrate SE	PO4 SE	
-6.19998	39.18601	28.00000	9.12000	35.00000	4.90000	0.00123	0.74371	0.68197	27.80000	8.07000	34.80000	7.00000	0.30256	0.29291	0.67441	
-6.19975	39.19975	27.00000	9.60000	35.50000	4.31000	0.00230	0.67441	0.75515	28.00000	8.07000	34.50000	7.12000	0.31580	0.25620	0.62822	
-6.19909	39.20500	27.70000	9.00000	35.50000	4.04000	0.00120	0.51273	4.84150	27.40000	8.01000	34.50000	6.56000	0.51269	0.43975	0.51273	
-6.19755	39.17088	27.50000	9.00000	34.00000	5.23000	0.00133	0.39725	0.73076	28.00000	8.09000	34.80000	7.00000	0.52180	0.47647	0.46654	
-6.19360	39.15768	27.50000	9.00000	35.00000	4.21000	0.00150	0.37415	0.64537	28.00000	8.09000	35.00000	6.01000	0.53120	0.50094	0.42035	
-6.18768	39.14259	27.00000	9.14000	34.80000	4.89000	0.00143	0.37415	0.58438	27.80000	8.05000	35.00000	6.21000	0.30012	0.58660	0.39725	
-6.18251	39.13100	27.10000	9.07000	35.00000	4.90000	0.00123	0.35106	0.84054	27.80000	8.09000	34.80000	5.21000	0.12589	0.64779	0.37415	
-6.17912	39.11894	28.10000	9.15000	34.00000	5.02000	0.00127	0.35106	0.87713	27.80000	8.07000	35.00000	6.22000	0.04589	0.70898	0.37415	
-6.17893	39.09996	26.90000	9.10000	34.00000	5.00000	0.00120	0.35106	0.85274	27.80000	8.06000	34.80000	6.24000	0.00209	0.45199	0.21247	
-6.17845	39.10847	29.00000	9.34000	34.80000	5.46000	0.00116	0.32796	0.98692	28.00000	8.05000	34.80000	6.00000	0.02589	0.54989	0.06469	
-6.15761	39.19114	28.10000	8.90000	34.50000	7.43000	0.00135	0.836093357	5.29283	28.00000	8.06000	34.00000	6.00000	0.71250	0.73345	0.46654	
-6.15487	39.18473	27.70000	9.08000	33.00000	7.60000	0.00520	0.651317064	1.46264	28.00000	8.09000	34.50000	7.22000	0.70269	0.46423	0.46654	
-6.15321	39.17699	27.60000	9.07000	36.00000	7.60000	0.00130	0.628220027	1.91397	27.80000	8.08000	35.20000	6.60000	0.58960	0.34186	0.44344	
-6.15187	39.16704	27.60000	9.13000	37.00000	5.65000	0.00190	0.512734844	0.36482	28.00000	8.10000	35.20000	7.00000	0.41256	0.51318	0.44344	
-6.15066	39.15677	27.50000	9.10000	36.00000	5.50000	0.00088	0.489637807	0.38921	28.00000	8.10000	35.30000	6.26000	0.15890	0.46423	0.44344	
-6.14902	39.14780	27.50000	9.10000	35.50000	5.70000	0.00086	0.466540771	0.46240	27.80000	8.10000	35.00000	6.26000	0.19855	0.39081	0.44344	
-6.14452	39.13574	27.10000	9.08000	34.90000	5.52000	0.00078	0.443443734	0.85274	27.40000	8.11000	36.00000	5.95000	0.09899	0.46423	0.42035	
-6.14227	39.12684	27.10000	9.05000	35.00000	5.05000	0.00183	0.443443734	0.38921	27.60000	8.10000	36.50000	6.56000	0.02827	0.28067	0.42035	
-6.13969	39.11600	27.20000	9.06000	35.00000	5.35000	0.00213	0.420346698	0.38921	27.60000	8.11000	35.50000	6.36000	0.00938	0.26843	0.35106	
-6.13722	39.10515	27.10000	9.08000	35.20000	5.50000	0.00190	0.397249661	0.40141	27.50000	8.09000	35.50000	6.11000	0.00259	0.21948	0.28176	
-6.13312	39.21179	27.00000	8.93000	35.00000	5.32000	0.00628	0.97468	2.59706	28.10000	8.01000	34.00000	7.12000	1.25680	1.02715	0.39725	
-6.12451	39.20408	27.30000	9.00000	34.00000	6.62000	0.00397	0.95158	1.25527	28.00000	8.04000	34.00000	6.26000	1.12610	0.62331	0.39725	
-6.11935	39.19252	27.50000	9.00000	34.80000	6.25000	0.00227	0.7899	0.97472	28.00000	8.05000	34.50000	6.01000	1.00227	0.59884	0.32796	
-6.11595	39.18268	27.20000	9.12000	34.00000	6.00000	0.00241	0.65132	0.86494	28.00000	8.06000	34.80000	5.64000	0.90187	0.77016	0.32796	
-6.11335	39.17170	27.60000	9.12000	35.00000	5.05000	0.00216	0.62822	0.70636	27.70000	8.08000	34.80000	5.56000	0.50212	0.46423	0.32796	
-6.10961	39.15924	27.10000	9.04000	34.00000	4.86000	0.00159	0.60512	0.68197	28.00000	8.08000	34.80000	6.01000	0.30227	0.45199	0.30486	
-6.10653	39.14531	26.00000	9.04000	34.50000	5.55000	0.00075	0.58203	0.69416	27.80000	8.09000	35.00000	6.01000	0.10250	0.51318	0.30486	
-6.10374	39.13555	26.80000	9.05000	35.00000	5.44000	0.00078	0.55893	0.60878	27.20000	8.08000	35.00000	6.30000	0.09255	0.48870	0.30486	
-6.09955	39.12152	26.90000	9.04000	34.50000	5.11000	0.00122	0.53583	0.85274	27.30000	8.10000	35.00000	5.91000	0.04309	0.51318	0.25867	
-6.09726	39.11500	26.80000	9.04000	35.00000	5.45000	0.00112	0.48964	0.93812	27.70000	8.10000	35.00000	6.12000	0.20285	0.45199	0.23557	
