LATITUDE	LONGITUDE	SST NE	pH NE	SALINITY NE	DO NE	chlo NE	PO4 NE	Nitrate NE	SST SE	Ph SE	SALINITY SE	DO SE	chlo SE	Nitrate SE	PO4 SE
-5.52414	38.99560	29.50000	8.01000	34.00000	5.65000	0.00163	1.06706	0.10866	28.10000	8.04000	35.50000	5.17000	0.00856	0.23172	0.39725
-5.51718	38.99889	29.30000	8.02000	34.80000	5.06000	0.00182	0.83609	0.12085	28.00000	8.04000	35.50000	6.06000	0.00915	0.10935	0.37415
-5.50933	39.00019	28.80000	8.01000	34.00000	5.21000	0.00190	0.7899	0.15745	27.70000	8.03000	35.00000	5.36000	0.02250	0.29291	0.35106
-5.50130	39.00066	29.00000	8.01000	34.80000	5.06000	0.00134	0.72061	0.12085	28.00000	8.04000	35.00000	5.17000	0.07526	0.26843	0.30486
-5.49300	39.00158	28.60000	8.02000	35.00000	5.40000	0.00134	0.67441	0.14525	27.70000	8.03000	35.00000	5.56000	0.10089	0.31738	0.28176
-5.48495	39.00252	28.60000	8.00000	34.80000	5.11000	0.00146	0.62822	0.16965	28.00000	8.03000	35.50000	5.30000	0.42360	0.51318	0.21247
-5.47736	39.10630	28.00000	8.04000	35.00000	5.13000	0.00093	0.62822	0.30383	28.20000	8.06000	34.00000	6.00000	0.00856	0.10935	0.21247
-5.47513	39.09458	28.00000	8.04000	35.50000	6.06000	0.00083	0.60512	0.49899	28.60000	8.05000	34.00000	6.13000	0.00911	0.26843	0.21247
-5.47452	39.00347	28.50000	8.01000	34.80000	5.11000	0.00107	0.58203	0.19404	27.50000	8.02000	35.00000	5.32000	0.69870	0.48870	0.18938
-5.47388	39.08360	28.20000	8.03000	36.00000	5.55000	0.00087	0.53583	0.4624	28.80000	8.05000	34.50000	6.01000	0.02122	0.29291	0.09699
-5.47124	39.07220	28.20000	8.04000	34.50000	5.61000	0.00071	1.020869649	0.60878	28.90000	8.06000	34.50000	5.34000	0.06240	0.31738	0.30486
-5.46840	39.00354	28.40000	7.96000	34.80000	5.26000	0.00168	0.836093357	0.36482	27.60000	8.02000	34.50000	5.55000	0.86520	0.61108	0.28176
-5.46696	39.06022	28.20000	8.04000	35.00000	5.86000	0.00085	0.836093357	0.4624	28.60000	8.05000	35.00000	6.01000	0.10078	0.32962	0.28176
-5.46308	39.04910	28.30000	8.04000	36.00000	5.92000	0.00095	0.789899283	0.53559	28.70000	8.04000	35.00000	6.14000	0.17320	0.35409	0.28176
-5.45995	39.03885	28.50000	8.04000	34.00000	6.20000	0.00104	0.766802247	0.69416	29.10000	8.04000	34.50000	6.30000	0.32500	0.39081	0.25867
-5.45932	39.00389	28.60000	7.94000	34.80000	5.20000	0.00097	0.766802247	0.51119	28.00000	8.00000	34.00000	5.95000	0.90000	0.57436	0.18938
-5.45609	39.02702	28.70000	8.04000	35.00000	5.68000	0.00134	0.697511137	0.63317	28.90000	8.05000	34.00000	6.66000	0.77000	0.42752	0.18938
-5.45207	39.01524	28.90000	8.03000	35.00000	5.19000	0.00114	0.697511137	0.60878	28.80000	8.04000	33.00000	6.75000	0.94700	0.45199	0.18938
-5.44969	39.00337	28.80000	7.96000	34.50000	6.04000	0.00143	0.651317064	0.30383	27.60000	7.98000	34.00000	6.98000	0.92140	0.57436	0.16628
-5.44784	39.00276	28.40000	7.98000	33.00000	4.90000	0.00143	0.605122991	0.73076	28.80000	8.06000	33.00000	6.96000	0.95600	0.47647	0.14318
-5.44361	38.99677	28.20000	7.97000	34.50000	7.15000	0.00234	1.11326	0.415280023	27.70000	7.95000	34.00000	6.54000	0.91000	0.35409	0.23557
-5.43872	39.00632	28.00000	8.00000	34.80000	6.03000	0.00122	1.02087	0.40304	27.50000	8.00000	34.50000	6.78000	0.62580	0.26843	0.21247
-5.43378	39.01197	28.00000	8.01000	35.00000	5.55000	0.00158	0.7899	0.39081	27.50000	7.99000	34.50000	6.20000	0.03090	0.26843	0.16628
-5.42863	39.01836	28.10000	8.01000	34.80000	5.46000	0.00153	0.74371	0.40304	27.60000	8.00000	35.00000	6.83000	0.01586	0.42752	0.12009
-5.42454	39.02493	28.10000	8.02000	35.00000	5.33000	0.00124	0.69751	0.21948	27.80000	8.00000	35.00000	6.17000	0.00936	0.63555	0.09699
-5.42059	39.03195	28.00000	8.03000	35.00000	5.30000	0.00148	0.69751	0.46423	28.30000	8.00000	35.20000	5.99000	0.00715	0.50094	0.09699
-5.41643	39.03804	27.70000	8.03000	35.50000	5.21000	0.00124	0.67441	0.64779	28.00000	8.03000	35.20000	5.95000	0.00624	0.37857	0.07389
-5.41456	39.04568	27.80000	8.03000	35.00000	5.45000	0.00100	0.67441	0.53765	27.40000	8.04000	35.20000	5.65000	0.00425	0.50094	0.05079
-5.41433	39.05243	27.60000	8.03000	34.00000	5.33000	0.00119	0.67441	0.48870	27.50000	8.05000	35.00000	6.32000	0.00416	0.26843	0.0277
-5.41403	39.06065	27.30000	8.04000	35.00000	5.19000	0.00122	0.60512	0.48870	27.80000	8.05000	34.80000	6.00000	0.00401	0.36633	0.0277
